Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	171	28.885135135135137	1.5133836234882005E-35	CD86, EIF4A1, RNH1, PDCD6, ENO1, ACTB, ACTG1, CNDP2, LGALS3, AKR7A2, LGALS1, CAPNS1, BASP1, CFL1, NAMPT, CAPN2, COTL1, ATP6V1E1, RPS11, TPM4, TPM3, ARRDC1, CD300A, SERPINF1, RPL23, PDIA6, MYL6, PPA1, SUB1, PSME2, CHMP4B, TAGLN2, LAP3, PFN1, PPIB, PHPT1, TLN1, SRSF7, PPIA, VCL, NDRG2, PLD3, SNX3, LDHA, SYNGR2, ESD, NCKAP1L, S100A11, ATP6V1F, S100A10, MPST, VASP, HLA-DRB5, IDH2, MSN, ARPC5, LYZ, BST2, MOB1A, EIF6, ARPC3, GNB2, GNB1, PPT1, GNAS, HLA-DRA, TPP1, CYSTM1, HNRNPC, TGFBI, HLA-DRB1, LGMN, ITM2C, YWHAE, ARF3, SLC25A3, HEXB, ARPC1B, HEXA, GDI2, CTSZ, BRK1, YBX1, LSP1, RAB22A, HEBP2, ACTR1A, TUBA1A, ATIC, ALDH2, CHMP1B, RNPEP, FLOT1, TMEM109, CTSH, SH3BGRL3, PGLS, RAC1, NANS, CLIC1, CTSC, YWHAH, APPL1, CBR1, ACTR2, TMED9, SEC13, ANXA1, TPI1, ATP6AP1, ANXA2, GPX4, GSTO1, RNASET2, DCXR, ANXA5, AKR1A1, RHOG, UPK3A, SERPINB6, NME1, DNM2, FGR, VAMP8, PSMA3, PLSCR1, PKM, DDAH2, NPC2, THRAP3, CAT, UFC1, BLVRB, LCP1, PABPC1, GAPDH, ARF5, CHMP5, RAB7A, NAPA, CSTB, CD63, GRN, AHNAK, GSTP1, FGL2, WAS, CAPG, PRCP, CST3, PSMB5, GNG5, PSMB3, CCT8, CCT5, CCT4, CD74, GSN, MDH1, ATP2B1, LILRB4, RAB11A, TM9SF2, PFKL, FMNL1, NAGK, FABP5, MNDA, VIM, LAMTOR1, CPVL	581	2240	20660	2.7145776985492995	9.292175448217551E-33	9.292175448217551E-33	8.45981445529904E-33
GOTERM_CC_DIRECT	GO:0005829~cytosol	286	48.310810810810814	3.268433864687237E-30	GLTP, EIF4A1, VPS29, RNH1, EIF4A3, LST1, UBE2L6, ENO1, IFI30, LIPA, ACTB, PSMD8, RPS6KA4, LGALS3, LGALS1, SCP2, CAPNS1, SNRPD1, RPS6KA1, NAMPT, AP1S2, FBXO6, LGALS9, ATP6V1E1, RPS11, RPL39, ATG3, C17ORF49, RPL23, MYL6, PPA1, PRKAR1A, CLNS1A, DDIT4, BTK, PLBD1, PSME2, TAGLN2, LAP3, PFN1, TLN1, SKAP2, RPN1, GABARAP, SNX3, PRDX3, LDHA, PPP3R1, RAB11FIP1, COMMD9, BLOC1S1, INPP5D, MICAL1, MCMBP, STK38L, NCKAP1L, DECR1, VASP, UPF3B, LARP7, EIF2AK2, BST2, CCDC88A, EIF6, ADI1, ID2, HNRNPD, REL, PPT1, SPATS2L, HNRNPC, CALM2, ARF3, CDKN1A, TCF25, ARPC1B, HEXA, GDI2, CLTA, HSCB, ARHGAP4, ACTR1A, TUBA1A, ATIC, C1QBP, CHMP1B, SEC61G, CTSH, SH3BGRL3, SEC61B, RAC1, CLIC2, NANS, UBL7, APPL1, OFD1, CBR1, SEC13, ANXA1, TPI1, SYK, ANXA2, GSTO1, ANXA5, AKR1A1, RHOG, AMPD2, C1ORF43, JOSD2, UCHL3, SERPINB6, NME1, VAMP8, PSMA3, PLSCR1, IL1B, PABPC1, VAMP3, RAB7A, NAPA, CSTB, TOMM40, AHNAK, URM1, GSTP1, WAS, FUOM, AIF1, TYMP, PAK1, PSMB5, PSMB3, LMNA, AP2S1, STAT6, CCT8, BID, EMC8, CCT5, CCT4, PAIP1, LRRC25, GSN, MDH1, RAB11A, FKBP1A, PER1, FABP5, TACC1, MSRB1, LAMTOR5, TPMT, NCF2, PDCD6, ACTG1, CNDP2, PYCARD, RGS2, ZFP36, AKR7A2, FAM162A, RGS1, CFL1, CAPN2, COTL1, ACAA1, KPNA2, ARHGEF40, HMGN3, TPM4, TPM3, CTNNBIP1, PDIA6, RAB32, RAB31, MAP7D1, ELMO1, SNRPG, CHMP4B, SNRPE, CARD16, PPIB, PHPT1, PPIA, VCL, SNRPB, NDRG2, NME1-NME2, ESD, BAG1, EIF4EBP1, PMAIP1, NDUFV2, NDUFV1, MCL1, ATP6V1F, MPST, TRAPPC1, UROS, IDH2, HMGA1, MSN, ISG15, UBE2A, ARPC5, ARHGAP27, NR4A1, MOB1A, LSM7, FES, ARPC3, GNB2, GNB1, GNAS, CYCS, CCDC22, XAF1, COPE, MAP3K11, YWHAE, USP33, APIP, BRK1, YBX1, BLNK, CASP1, PHACTR1, PGLS, EIF2B1, SNAP29, CCDC50, ZNF385A, YWHAH, ACTR2, GPX1, GPX4, DCXR, HAUS4, RABGGTA, DNM2, HAUS1, FGR, ARL4C, DUSP23, HSH2D, PKM, DDAH2, CAT, IRF7, BLVRB, IRF8, PFDN2, DNAJC8, LCP1, EIF4E2, GAPDH, CHMP5, DCTN6, HDAC3, EI24, POMP, RNF7, CYTH4, PPP2R3C, AAMP, PPP1R14A, PTPN1, PTPN18, SSB, NIPSNAP3A, CMTM3, NAA10, MX1, TPRKB, KLF4, CPPED1, PFKL, FMNL1, NAGK, NECAP1, EIF3K, IMPDH1, EIF3L, RGS10, MNDA, VIM	581	5629	20660	1.8067121670449533	2.006818392917963E-27	1.0034091964589816E-27	9.135272651800827E-28
GOTERM_MF_DIRECT	GO:0005515~protein binding	495	83.61486486486487	2.350129166140716E-26	VPS29, SPI1, RNH1, MT-CO1, CLEC10A, ENO1, ALKBH7, PHB2, SPIB, PSMD8, SCAMP4, SCP2, CAPNS1, NAMPT, AP1S2, ATG3, NUP210, STARD7, SERPINF1, RPL23, WDR74, MYL6, PRKAR1A, MTHFD2, CLNS1A, DDIT4, PSME2, ATF3, ATF4, SKAP2, RPN1, MRPL15, CFP, GABARAP, MRPL11, MTDH, PRDX3, PPP3R1, LDHA, BLOC1S1, MCMBP, NCKAP1L, HLA-DQA2, HLA-DQA1, S100A11, S100A10, FDFT1, PRELID1, MRPL27, LARP7, EIF2AK2, UPF3B, MRPL23, PTRHD1, EIF6, ADI1, HNRNPD, PSMG3, PPT1, REL, HNRNPC, HLA-DRB1, ARF3, CDKN1A, TCF25, HEXB, ARPC1B, HEXA, CLTA, ARHGAP4, PQBP1, MRPL41, TUBA1B, TUBA1A, FASTK, SH3BGRL3, UBL7, APPL1, HAVCR2, OFD1, IKBIP, BRD2, ANXA1, TPI1, ANXA2, GSTO1, ANXA5, SSR3, KIAA1143, JOSD2, BAZ1A, MED28, VAMP8, HADHB, MS4A6A, PLSCR1, PSMA3, PLEKHO1, ARF5, HLA-DQB1, VAMP3, SF3B4, GRN, AHNAK, URM1, GSTP1, NOC4L, AOAH, TMEM69, HLA-DMA, HLA-DMB, PSMB5, PSMB3, UCP2, AP2S1, STAT6, BID, PAIP1, LRRC25, P2RY13, GSN, MDH1, MCRS1, FABP5, ABI3, APEX1, HLA-DPB1, LAMTOR2, PLP2, LAMTOR1, LAMTOR5, MSRB1, MTCH1, CSF3R, TPMT, NCF2, PDCD6, BZW2, PYCARD, ZFP36, FCGRT, CFL1, HLA-DOA, KPNA2, HMGN3, TMSB10, TPM4, TPM3, CTNNBIP1, UBE2E2, CNPY3, RAB32, ILF3, RAB31, NHP2, SNRPG, SNRNP27, SNRPE, PHPT1, FKBP3, SRSF7, IFNAR1, SNRPB, CSF1R, FKBP2, ESD, BAG1, EIF4EBP1, MCL1, AKIRIN2, DR1, TRAPPC1, RAB4B, LY86, ARPC5, DRAP1, PTPRE, MOB1A, LSM7, ARPC3, HLA-DRA, RNF181, TPP1, CCDC22, XAF1, MAP3K11, APIP, BRK1, ETFA, NENF, LSP1, TNFSF13B, SUMO3, PHACTR1, PGLS, EIF2B1, SNAP29, CCDC50, SMIM12, COA5, IDH3A, ACTR2, GPX1, GPX4, HAUS4, NDUFC2, RABGGTA, HAUS1, ARL4C, DUSP23, PKM, NPC2, DNAJC4, DNAJC8, TOP1, EIF4E2, SLC25A5, ZNF511, GAPDH, SFT2D1, SLC25A6, GTF2A2, HDAC3, CEBPD, NDUFB5, UNC93B1, GTF3C6, EI24, HM13, FGL2, PRCP, PDHB, HSD17B10, POLR2A, AAMP, NDUFA8, PTPN1, SEMA4A, PTPN18, SSB, MBOAT7, TPRKB, KLF4, PFKL, RAD50, NAGK, NECAP1, EIF3K, EIF3L, MNDA, TRIM33, GLTP, IFITM3, EIF4A1, SMARCB1, SLC35B1, EIF4A3, UBE2L6, IFI30, ACTB, RPS6KA4, LGALS3, LGALS2, LGALS1, SNRPD1, RASSF4, RPS6KA1, FBXO6, RPS11, ATP6V1E1, C17ORF49, ARRDC1, SUB1, XRN2, BTK, TAGLN2, LAP3, PFN1, AURKAIP1, TLN1, MGST2, CD1D, CD1C, SNX3, APH1A, C7ORF50, ZNHIT1, COMMD9, SYNGR2, MICAL1, INPP5D, STK38L, MLEC, VASP, IFI44, BST2, ID2, ID1, CYSTM1, CALM2, ITM2C, COX7B, CTSZ, GDI2, MAGEF1, HSCB, RAB22A, HERPUD1, GLIPR1, ACTR1A, C1QBP, CHMP1B, SEC61G, FCER1A, CTSH, SEC61B, RAC1, CLIC2, CLIC1, CTSC, CD33, COX8A, MAP4K1, SEC13, TMED9, FCER1G, SYK, AKR1A1, RHOG, COMMD3, AMPD2, PRPF40A, UCHL3, NME1, MLF2, SCNM1, IL1B, UFC1, PABPC1, CD302, RAB7A, NAPA, CD63, TOMM40, WAS, IFI6, CAPG, UQCR10, COX5B, AIF1, TYMP, CST3, PAK1, OS9, LMNA, CCT8, EMC8, CCT5, CCT4, CD74, SLC31A2, ORMDL1, LILRB2, LILRB4, RAB11A, YIF1A, YIF1B, FKBP1A, PER1, THEMIS2, NDUFAB1, TACC1, GRINA, CD86, SAMD9L, CD83, COX6A1, ACTG1, TXN2, CHCHD5, AKR7A2, RGS2, CHCHD2, BASP1, FAM162A, CAPN2, IGFLR1, COTL1, ACAA1, IL6R, TMEM14C, CD300A, LMO2, ACYP2, CYBA, SDHD, PDIA6, OXA1L, TYROBP, TMX1, MYADM, ELMO1, CHMP4B, CARD16, CD300C, PPIB, PPIA, VCL, TMED10, NDRG2, CSF2RA, PLD3, FUT7, PMAIP1, CYC1, NDUFV3, NDUFV2, NDUFV1, ATP6V1F, ISOC2, MPST, CRTAP, CPSF6, HMGA1, MSN, ISG15, UBE2A, NR4A2, NR4A1, FES, OSTC, GNB2, BHLHE40, GNB1, GNAS, CYCS, TGFBI, COPE, YWHAE, USP33, TNFAIP2, YBX1, HEBP2, BLNK, CASP1, FLOT1, UQCRFS1, TMEM109, YWHAH, SRGN, KLF10, RBM17, ATP6AP1, DCXR, UPK3A, DNM2, FGR, HSH2D, NDUFS8, DDAH2, THRAP3, NDUFS4, IRF7, NDUFS3, IRF8, TMEM219, BLVRB, PFDN2, CHMP5, RGS19, POMP, RNF7, SAMHD1, RNF5, CYTH4, GNG5, PABPN1, PPP2R3C, NIPSNAP3A, CMTM3, NAA10, TAF10, MX1, ATP2B1, SSRP1, DEK, SCIMP, USF2, FMNL1, CD4, ERCC1, RGS10, RBM42, VIM, CKLF	577	12657	18976	1.2861845172638593	1.9623578537274978E-23	1.9647079828936385E-23	1.9341563037338093E-23
GOTERM_BP_DIRECT	GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II	18	3.040540540540541	2.2813161939336387E-18	CD74, HLA-DRB5, FCER1G, UNC93B1, IFI30, DNM2, HLA-DMA, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DOA, HLA-DQA2, HLA-DQA1, HLA-DQB2, HLA-DRB1, HLA-DPA1, LGMN, HLA-DQB1	568	32	19462	19.273547535211264	6.510876417486605E-15	6.508595101292671E-15	6.4401556154746624E-15
GOTERM_MF_DIRECT	GO:0023026~MHC class II protein complex binding	16	2.7027027027027026	3.62720258736109E-16	YWHAE, CD74, HLA-DRB5, HLA-DMA, CD4, PKM, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DOA, HLA-DQA2, HLA-DQA1, HLA-DQB2, HLA-DRB1, HLA-DPA1, HLA-DQB1	577	28	18976	18.79277048774449	2.781108676686017E-13	1.5161706815169357E-13	1.4925938646990885E-13
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	98	16.554054054054053	1.5439412724441462E-15	MTCH1, SAMD9L, MT-ND5, MT-CO1, ALKBH7, COX6A1, PHB2, TXN2, PYCARD, CHCHD5, RGS2, AKR7A2, CHCHD2, SCP2, FAM162A, SDHD, RAB32, OXA1L, ILF3, COX7A2L, MTHFD2, DDIT4, CMPK2, AURKAIP1, MRPL14, MRPL15, MRPL11, APH1A, PRDX3, LDHA, PMAIP1, CYC1, NDUFV3, NDUFV2, NDUFV1, MCL1, DECR1, MPST, PRELID1, UROS, IDH2, MRPL27, MRPL23, NR4A1, FIBP, ARMC10, CYCS, XAF1, YWHAE, COX7B, SLC25A3, ETFA, HSCB, NENF, MRPL34, MRPL41, HEBP2, MRPL3, ALDH2, C1QBP, UQCRFS1, CLIC1, IDH3A, YWHAH, COA5, COX8A, GPX1, GPX4, MRPS25, MRPS22, NDUFC2, C1ORF43, HADHB, HSH2D, NDUFS8, PKM, DDAH2, CAT, NDUFS4, NDUFS3, PFDN2, SLC25A5, SLC25A6, RAB7A, TOMM40, NDUFB5, PON2, GSTP1, IFI6, PDHB, COX5B, HSD17B10, UCP2, BID, NDUFA8, NIPSNAP3A, APEX1, NDUFAB1	581	1467	20660	2.375473263195933	9.543477119677846E-13	3.1599331376023525E-13	2.8768772376542593E-13
GOTERM_BP_DIRECT	GO:0002503~peptide antigen assembly with MHC class II protein complex	12	2.027027027027027	1.231681861045069E-13	HLA-DMA, HLA-DRB5, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DOA, HLA-DQA2, HLA-DQB2, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	568	17	19462	24.186412593206295	3.513951352118738E-10	1.756994174780791E-10	1.738518946865115E-10
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	47	7.939189189189189	1.1128246327808295E-12	SLC25A3, COX7B, TOMM40, MT-ND5, MT-CO1, NDUFB5, NDUFB3, IFI6, MRPL14, MRPL15, UQCR10, MRPL34, COX5B, COX6A1, PHB2, MRPL11, MRPL41, MRPL3, LGALS3, UCP2, UQCRFS1, CYC1, NDUFV3, NDUFV2, NDUFV1, TMEM14C, COX8A, NDUFA8, MRPS25, MRPS22, MRPL27, NDUFC2, SDHD, MRPL23, HADHB, FGR, OXA1L, COX7A2L, NDUFS8, NDUFS6, NDUFAB1, NDUFS4, NDUFS3, CYCS, AURKAIP1, SLC25A5, SLC25A6	581	494	20660	3.3831799145686277	6.832447940752218E-10	1.7081858113185733E-10	1.5551724243112092E-10
GOTERM_CC_DIRECT	GO:0042613~MHC class II protein complex	13	2.195945945945946	1.4448267006883016E-12	CD74, HLA-DRB5, HLA-DMA, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DOA, HLA-DQA2, HLA-DQA1, HLA-DQB2, HLA-DRB1, HLA-DPA1, HLA-DQB1	581	26	20660	17.779690189328743	8.871343659677677E-10	1.7742471884452343E-10	1.6153162513695212E-10
GOTERM_BP_DIRECT	GO:0002504~antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	12	2.027027027027027	1.544108982084379E-12	HLA-DMA, HLA-DRB5, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DOA, HLA-DQA2, HLA-DQB2, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	568	20	19462	20.55845070422535	4.406856213279298E-9	1.4684476419622445E-9	1.4530065521414007E-9
