"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS12",1.27333241620305e-143,0.729895115468383,1,0.991,1.74624807558087e-139,"0","RPS12"
"RPS6",6.81765311980155e-143,0.687069386633446,1,0.995,9.34972948849585e-139,"0","RPS6"
"RPS27",4.66180970076748e-141,0.728157459094446,0.999,0.992,6.39320582363252e-137,"0","RPS27"
"RPL32",8.15841196343574e-138,0.619624626800571,0.999,0.995,1.11884461666558e-133,"0","RPL32"
"RPS14",5.17747843679082e-130,0.625283209758598,1,0.994,7.10039392821493e-126,"0","RPS14"
"RPS25",3.24489825267427e-123,0.749647883145465,0.997,0.975,4.45005346371749e-119,"0","RPS25"
"RPL31",2.07344404776566e-119,0.754183712129048,0.997,0.964,2.84352116710582e-115,"0","RPL31"
"RPL9",1.51086323547796e-118,0.754664262415874,0.997,0.971,2.07199784113447e-114,"0","RPL9"
"RPL13",1.21605133180095e-114,0.561769553885627,1,0.996,1.66769279643182e-110,"0","RPL13"
"LDHB",3.74613068088795e-112,1.08505589886451,0.912,0.592,5.13744361576974e-108,"0","LDHB"
"RPS3",8.27871576995781e-112,0.592204878513908,1,0.994,1.13534308069201e-107,"0","RPS3"
"RPL3",1.10726118409388e-111,0.605940623948798,0.997,0.995,1.51849798786635e-107,"0","RPL3"
"RPS3A",5.40307428056366e-111,0.787992472371644,0.997,0.975,7.40977606836501e-107,"0","RPS3A"
"RPL30",9.85457680871053e-110,0.664556739775202,1,0.98,1.35145666354656e-105,"0","RPL30"
"RPL21",1.66726314229216e-107,0.660271378376686,0.997,0.991,2.28648467333947e-103,"0","RPL21"
"RPS15A",3.49381162613543e-107,0.637266282235362,0.997,0.983,4.79141326408213e-103,"0","RPS15A"
"RPLP2",7.44119153762457e-103,0.593511978208332,1,0.99,1.02048500746983e-98,"0","RPLP2"
"RPS27A",4.53874786654834e-98,0.73234687177327,0.994,0.967,6.2244388241844e-94,"0","RPS27A"
"EEF1A1",7.95618457437842e-98,0.528331360932859,0.994,0.991,1.09111115253026e-93,"0","EEF1A1"
"RPS13",2.65411158951811e-97,0.694556923767892,0.985,0.962,3.63984863386514e-93,"0","RPS13"
"RPS18",6.15758745092759e-93,0.518707862806511,1,0.996,8.4445154302021e-89,"0","RPS18"
"RPL13A",9.33289739339184e-93,0.478613008733643,1,0.999,1.27991354852976e-88,"0","RPL13A"
"RPL11",3.95462918049876e-92,0.461785627387663,1,0.995,5.423378458136e-88,"0","RPL11"
"MALAT1",1.26691572526491e-91,0.64762129324572,1,0.999,1.73744822562829e-87,"0","MALAT1"
"RPS28",1.43187374640659e-91,0.637698576354116,0.993,0.968,1.96367165582199e-87,"0","RPS28"
"RPL35A",3.12647483344394e-90,0.571866498092635,0.999,0.981,4.28764758658502e-86,"0","RPL35A"
"RPL27A",5.2620718162237e-89,0.52873163957675,0.999,0.988,7.21640528876918e-85,"0","RPL27A"
"CCR7",9.57198363119605e-88,1.35897681716973,0.447,0.108,1.31270183518223e-83,"0","CCR7"
"RPS29",1.78138636352935e-87,0.742272178576418,0.993,0.904,2.44299325894415e-83,"0","RPS29"
"TPT1",1.8019055766788e-85,0.59823806536915,0.997,0.982,2.47113330785731e-81,"0","TPT1"
"RPL23A",1.13532435421822e-84,0.555913902625692,1,0.988,1.55698381937487e-80,"0","RPL23A"
"RPS23",4.70552218991545e-84,0.569410252762829,0.997,0.977,6.45315313125005e-80,"0","RPS23"
"RPS4X",6.03390048825006e-81,0.513346167231683,0.997,0.992,8.27489112958613e-77,"0","RPS4X"
"RPS20",3.49626639661882e-80,0.667407572923167,0.988,0.943,4.79477973632305e-76,"0","RPS20"
"CD3D",1.15469480696824e-76,0.93532925335617,0.845,0.406,1.58354845827624e-72,"0","CD3D"
"RPL5",1.39659277586284e-76,0.596495005928174,0.988,0.969,1.9152873328183e-72,"0","RPL5"
"RPS16",3.85972065576792e-75,0.534718354828034,0.996,0.982,5.29322090732012e-71,"0","RPS16"
"RPL10",6.41807033898982e-72,0.356821072488676,1,0.997,8.80174166289065e-68,"0","RPL10"
"RPL19",1.02928867751014e-71,0.397863751715888,0.999,0.993,1.41156649233741e-67,"0","RPL19"
"RPL10A",1.0423223595719e-69,0.519937547132176,0.991,0.985,1.4294408839169e-65,"0","RPL10A"
"RPSA",7.00913024734827e-67,0.567004431878368,0.99,0.948,9.61232122121342e-63,"0","RPSA"
"RPL14",5.45014818051942e-63,0.434864194270965,0.996,0.985,7.47433321476434e-59,"0","RPL14"
"RPS10",4.20729158650937e-61,0.518534400211065,0.991,0.968,5.76987968173896e-57,"0","RPS10"
"RPS5",4.44987431431281e-61,0.501713624151924,0.99,0.975,6.10255763464859e-57,"0","RPS5"
"NPM1",1.43908990833012e-59,0.75313128912343,0.921,0.798,1.97356790028393e-55,"0","NPM1"
"RPS15",2.32039523177814e-59,0.407418539623716,1,0.989,3.18219002086055e-55,"0","RPS15"
"RPL36",9.4916267479238e-58,0.53555353013399,0.99,0.948,1.30168169221027e-53,"0","RPL36"
"RPLP0",1.12751149831959e-57,0.529463462346542,0.988,0.938,1.54626926879548e-53,"0","RPLP0"
"RPL18",3.57529594737633e-57,0.511783508622707,0.999,0.979,4.90316086223189e-53,"0","RPL18"
"CD3E",1.12240531491322e-54,0.871214560898987,0.731,0.4,1.53926664887199e-50,"0","CD3E"
"RPL4",4.72196362456296e-52,0.523286372643081,0.994,0.956,6.47570091472564e-48,"0","RPL4"
"LEF1",1.35431856440599e-51,1.07922433389397,0.342,0.103,1.85731247922637e-47,"0","LEF1"
"RPL7",7.52158958517483e-50,0.560944717378173,0.98,0.967,1.03151079571088e-45,"0","RPL7"
"RPL22",7.57873616428033e-50,0.665356299224262,0.911,0.777,1.0393478775694e-45,"0","RPL22"
"RPL36A",7.81305693388028e-50,0.56361662819721,0.965,0.887,1.07148262791234e-45,"0","RPL36A"
"EEF1B2",8.70215356239754e-49,0.548891877883214,0.947,0.867,1.1934133395472e-44,"0","EEF1B2"
"NOSIP",1.94295688433313e-47,0.94696954509819,0.629,0.359,2.66457107117446e-43,"0","NOSIP"
"RPL18A",3.74962676294353e-47,0.318791088348798,0.999,0.992,5.14223814270075e-43,"0","RPL18A"
"RPS2",7.46525979832189e-47,0.32700795045979,1,0.995,1.02378572874186e-42,"0","RPS2"
"RPS8",1.32256466390575e-46,0.425849829304802,0.997,0.984,1.81376518008035e-42,"0","RPS8"
"RPS19",3.79619933510217e-46,0.361061894340117,0.999,0.992,5.20610776815912e-42,"0","RPS19"
"RPL17",7.24613062639578e-46,0.450034661490385,0.978,0.957,9.93734354103917e-42,"0","RPL17"
"PIK3IP1",2.80608717233912e-44,0.951208384430509,0.443,0.185,3.84826794814587e-40,"0","PIK3IP1"
"JUNB",1.07067876580259e-43,0.703965130829515,0.915,0.903,1.46832885942168e-39,"0","JUNB"
"PRKCQ-AS1",6.26944309951854e-43,1.02061922194782,0.33,0.112,8.59791426667972e-39,"0","PRKCQ-AS1"
"TMEM66",7.36391539321351e-43,0.736239521963932,0.846,0.7,1.0098873570253e-38,"0","TMEM66"
"BTG1",4.54089195948434e-42,0.58887095366413,0.944,0.859,6.22737923323683e-38,"0","BTG1"
"GLTSCR2",2.49582446701532e-41,0.571346590283687,0.92,0.803,3.42277367406481e-37,"0","GLTSCR2"
"RPS26",5.92668722464803e-41,0.48780353520241,0.965,0.898,8.12785885988231e-37,"0","RPS26"
"CD7",1.17786040315593e-40,0.681534084642665,0.582,0.293,1.61531775688804e-36,"0","CD7"
"RPL38",3.21858172214851e-38,0.512355679204151,0.947,0.874,4.41396297375447e-34,"0","RPL38"
"RPS21",3.94681986572475e-37,0.495918901400532,0.94,0.839,5.41266876385492e-33,"0","RPS21"
"RPLP1",5.93911728033808e-37,0.309046867603339,1,0.996,8.14490543825564e-33,"0","RPLP1"
"RPL35",8.84133676096078e-37,0.400118925473075,0.991,0.965,1.21250092339816e-32,"0","RPL35"
"IL7R",3.69332013896329e-36,0.731279861638364,0.604,0.332,5.06501923857426e-32,"0","IL7R"
"RPL12",9.08627377764393e-36,0.293510318172233,1,0.989,1.24609158586609e-31,"0","RPL12"
"RPL24",9.46641904938969e-36,0.411938485488044,0.984,0.942,1.2982247084333e-31,"0","RPL24"
"MAL",1.33987757563287e-34,0.949411432219989,0.268,0.087,1.83750810722292e-30,"0","MAL"
"TCF7",1.99554142465615e-34,0.793654811010833,0.393,0.177,2.73668550977345e-30,"0","TCF7"
"RPL37A",8.62028595847422e-33,0.379790486200802,0.987,0.945,1.18218601634515e-28,"0","RPL37A"
"RPL37",7.13848465092113e-32,0.410763875748764,0.987,0.943,9.78971785027323e-28,"0","RPL37"
"C6orf48",4.18830312282893e-31,0.769169018610443,0.699,0.492,5.7438389026476e-27,"0","C6orf48"
"RPSAP58",1.51190372299157e-29,0.52183410291019,0.845,0.698,2.07342476571064e-25,"0","RPSAP58"
"RPS4Y1",2.51129160237332e-29,0.460000724005798,0.94,0.869,3.44398530349478e-25,"0","RPS4Y1"
"CD27",8.31237821696421e-29,0.575509213675573,0.399,0.184,1.13995954867447e-24,"0","CD27"
"RPL27",8.90673265889199e-29,0.355124102621053,0.975,0.952,1.22146931684045e-24,"0","RPL27"
"RPL34",6.47773486350357e-28,0.576793871662128,0.927,0.904,8.8835655918088e-24,"0","RPL34"
"RPL7A",2.34965748725409e-26,0.317064978542445,0.985,0.975,3.22232027802026e-22,"0","RPL7A"
"RPL6",2.67222258034836e-26,0.280952856590058,0.999,0.992,3.66468604668975e-22,"0","RPL6"
"LTB",5.17491057685702e-26,0.371290925528822,0.898,0.636,7.09687236510172e-22,"0","LTB"
"LEPROTL1",5.21215650524643e-26,0.69077662308049,0.404,0.209,7.14795143129496e-22,"0","LEPROTL1"
"RPL15",8.5423952465449e-26,0.278272615477227,0.996,0.996,1.17150408411117e-21,"0","RPL15"
"RGCC",1.33240305266375e-21,0.646194630608503,0.36,0.185,1.82725754642307e-17,"0","RGCC"
"AES",1.65892728961406e-21,0.536649871793487,0.64,0.442,2.27505288497672e-17,"0","AES"
"SELL",8.54797543553439e-21,0.427193146809796,0.608,0.425,1.17226935122919e-16,"0","SELL"
"RPS7",1.31152586329219e-20,0.266908118364166,0.997,0.987,1.79862656891891e-16,"0","RPS7"
"LCK",1.46009293780022e-20,0.586880171237373,0.504,0.311,2.00237145489922e-16,"0","LCK"
"GIMAP5",3.30470894267082e-20,0.574630522408133,0.415,0.241,4.53207784397876e-16,"0","GIMAP5"
"TMEM123",4.38154739974158e-20,0.577053624240488,0.55,0.385,6.00885410400561e-16,"0","TMEM123"
"NDFIP1",1.8253087826038e-19,0.71901881038482,0.444,0.283,2.50322846446285e-15,"0","NDFIP1"
"C12orf57",2.0396286257272e-19,0.747270807893399,0.425,0.258,2.79714669732229e-15,"0","C12orf57"
"FLT3LG",5.36187874217995e-19,0.700304611379464,0.276,0.137,7.35328050702558e-15,"0","FLT3LG"
"HNRNPA1",1.44771704832624e-18,0.304511611686745,0.961,0.919,1.98539916007461e-14,"0","HNRNPA1"
"RHOH",1.48078021759051e-18,0.654321123136904,0.37,0.208,2.03074199040363e-14,"0","RHOH"
"CD3G",2.2548496370798e-18,0.51816842526151,0.338,0.178,3.09230079229124e-14,"0","CD3G"
"TOMM7",4.08008250392595e-18,0.420240884791922,0.838,0.758,5.59542514588405e-14,"0","TOMM7"
"TRAT1",2.36247619347421e-16,0.55975971185004,0.27,0.139,3.23989985173053e-12,"0","TRAT1"
"RGS10",3.06657352432355e-16,0.52033317393747,0.531,0.377,4.20549893125732e-12,"0","RGS10"
"HINT1",6.47312318751586e-16,0.441949472183257,0.734,0.61,8.87724113935925e-12,"0","HINT1"
"GYPC",7.40992541798094e-16,0.580061568865703,0.401,0.255,1.01619717182191e-11,"0","GYPC"
"DNAJB1",2.55256834671587e-15,0.656852969698875,0.395,0.256,3.50059223068615e-11,"0","DNAJB1"
"EIF4A2",6.77937855461769e-15,0.461149059578433,0.74,0.606,9.2972397498027e-11,"0","EIF4A2"
"RPL23",2.39792445250246e-14,0.289757925634328,0.905,0.841,3.28851359416188e-10,"0","RPL23"
"EEF1D",1.03800632187146e-13,0.277094802667067,0.963,0.967,1.42352186981451e-09,"0","EEF1D"
"COMMD6",2.21309834351573e-13,0.417288585783744,0.68,0.575,3.03504306829747e-09,"0","COMMD6"
"OCIAD2",3.93337995390689e-13,0.441306831941341,0.325,0.192,5.39423726878791e-09,"0","OCIAD2"
"HSPA8",7.4684511623837e-13,0.36319040176543,0.769,0.642,1.0242233924093e-08,"0","HSPA8"
"PABPC1",2.07714414501767e-12,0.343501920440551,0.893,0.849,2.84859548047724e-08,"0","PABPC1"
"TRAF3IP3",3.20111497099224e-12,0.575711987660693,0.564,0.454,4.39000907121875e-08,"0","TRAF3IP3"
"FYB",3.81544548860783e-12,0.394699558621227,0.462,0.338,5.23250194307678e-08,"0","FYB"
"EVL",5.59253093748831e-12,0.416983702516465,0.633,0.497,7.66959692767147e-08,"0","EVL"
"SOD1",7.29702569429794e-12,0.460722517216034,0.598,0.483,1.00071410371602e-07,"0","SOD1"
"PRDX2",1.35007555842623e-11,0.485717117905271,0.38,0.259,1.85149362082574e-07,"0","PRDX2"
"ZFP36L2",1.77721611946842e-11,0.400023063096626,0.732,0.624,2.43727418623899e-07,"0","ZFP36L2"
"SLC2A3",3.3564070256566e-11,0.462985572343218,0.339,0.222,4.60297659498545e-07,"0","SLC2A3"
"SRSF5",8.43078905995128e-11,0.269484905637506,0.788,0.715,1.15619841168172e-06,"0","SRSF5"
"PEBP1",1.30736430426108e-10,0.384172000810172,0.471,0.35,1.79291940686365e-06,"0","PEBP1"
