Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	81	36.65158371040724	1.3009107934009568E-24	ITGB1, ARF3, APP, RNF11, ARF1, WDR1, ITGB3, ARPC1B, SNAP23, ITGA2B, HSPB1, PYGL, CLU, ACTB, ACTG1, CA2, FTH1, TUBB1, ARHGDIB, SH3BGRL3, TIMP1, CAPN1, GLUL, AP2M1, YWHAH, G6PD, DBNL, TPM4, HGD, GPX4, TPM3, GSTO1, ACTN1, HLA-C, TALDO1, GP1BA, TUBA4A, HLA-E, MYL6, PKM, TMBIM1, VDAC3, TAX1BP3, TAGLN2, CHMP6, TLN1, ALDOA, GAPDH, SQSTM1, ASAH1, ALOX12, FSTL1, MYL12A, PTGS1, SNX3, RAP1B, CYB5R1, SH3BGRL, PACSIN2, FLNA, STOM, RSU1, MPST, CTSA, RAB4A, GSN, ARPC5, FAH, TUBB4B, PDZK1IP1, SOD2, SVIP, PRDX6, RAB11A, RAB10, XPNPEP1, CD9, LAMTOR1, GLA, ITM2B, FERMT3	216	2240	20660	3.458705357142857	5.099570310131751E-22	5.099570310131751E-22	4.553187776903349E-22
GOTERM_CC_DIRECT	GO:0005829~cytosol	115	52.03619909502263	9.601171926240166E-16	APP, MAP3K7CL, SRP14, SAT1, CLU, ACTB, ACTG1, GRAP2, FTH1, ARHGDIB, CAPN1, GLUL, AP2M1, SKP1, G6PD, TPM4, HGD, TPM3, ACTN1, TPM1, TALDO1, TUBA4A, RBX1, RUFY1, RAB32, MYL6, DAAM1, TAGLN2, TLN1, MYL9, SQSTM1, CD151, GMPR, ALOX12, OAZ1, MYL12A, SNX3, RAP1B, CYB5R1, PACSIN2, CAMTA1, C19ORF33, RSU1, SERF2, MPST, TRAPPC1, PARVB, ARPC5, PRDX6, TREML1, DIAPH1, ABTB1, UBXN11, CALM3, MAGED2, GNB5, EIF4G2, ARF3, ARF1, WDR1, ARPC1B, FHL1, SLC40A1, ILK, HSPB1, PYGL, ARHGAP6, NRGN, ANKRD9, CA2, TMSB4X, SH3BGRL3, LDLRAP1, YWHAH, DBNL, GPX1, GPX4, TSC22D1, GSTO1, TSC22D3, DYNLL1, NT5C3A, PKM, CTTN, TAX1BP3, CHMP6, ALDOA, GAPDH, MGLL, MTPN, WBP2, ODC1, SH3BGRL, PNMA1, DNAJB6, LMNA, FLNA, RBBP6, SNCA, CDKN2D, UBL4A, PTPN18, GSN, DMTN, RIOK3, FAH, TUBB4B, RAB11A, RAB10, FKBP1A, VAPA, XPNPEP1, RGS10, TACC3, LIMS1	216	5629	20660	1.9540836804116253	3.9168668308775523E-13	1.8818296975430726E-13	1.680205087092029E-13
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	29	13.122171945701359	1.2932852485570551E-14	ITGB1, ARF3, ARF1, CD151, ITGB3, ARPC1B, SNAP23, ITGA2B, FHL1, ILK, HSPB1, ACTB, ACTG1, PDLIM1, PACSIN2, FLNA, RSU1, CAPN1, CD99, GSN, TPM4, ACTN1, PARVB, ARPC5, RAB10, CTTN, CD9, TLN1, LIMS1	216	434	20660	6.391235705751836	5.048406137575512E-12	1.6898927247812185E-12	1.508832789983231E-12
GOTERM_MF_DIRECT	GO:0005515~protein binding	186	84.16289592760181	2.0692115773465316E-13	APP, SPARC, C2ORF88, ITGA2B, MAP3K7CL, F13A1, MTFR1L, SRP14, TMEM140, SAT1, CLU, ACTB, ACTG1, GRAP2, FTH1, ARHGDIB, CAPN1, GLUL, AP2M1, SKP1, G6PD, TPM4, HGD, TPM3, ACTN1, SECISBP2, TPM1, HLA-C, TALDO1, TUBA4A, HLA-E, RBX1, RUFY1, RAB32, CLDN5, MYL6, DAAM1, RAB37, SPNS1, VDAC3, TAGLN2, TLN1, SQSTM1, CD151, MAX, FAXDC2, ALOX12, ADIPOR1, OAZ1, MYL12A, SNX3, RAP1B, CYB5R1, CYB5R3, RDH11, SWI5, PACSIN2, RSU1, GAS2L1, CD99, MPST, OST4, RAB4A, TRAPPC1, TGFB1, TMEM50A, PYCR2, PARVB, PPBP, ARPC5, PRDX6, GNG11, UBAC2, TREML1, DIAPH1, ABTB1, GP9, UBXN11, NDUFAF3, CALM3, ESAM, MAGED2, GNB5, EIF4G2, ITM2B, TUBA8, ITGB1, ARF3, RNF10, RNF11, ARF1, MCUR1, ITGB3, ARPC1B, SNAP23, FHL1, SLC40A1, ATP2A3, ILK, HSPB1, ETFA, HMGB1, PYGL, NENF, TUBA1C, TUBA1B, ABHD16A, CA2, TMSB4X, SH3BGRL3, TIMP1, LDLRAP1, CLEC1B, YWHAH, PTCRA, SRGN, PLA2G12A, DBNL, GPX1, GPX4, TSC22D1, GSTO1, MMD, TSC22D3, TMEM40, GP1BA, DYNLL1, NT5C3A, PKM, CTTN, TMBIM1, TMEM219, TAX1BP3, CHMP6, ALDOA, GAPDH, MGLL, CERS2, RGS18, ASAH1, LEPROT, WBP2, ODC1, AGPAT1, FSTL1, STX11, PTGS1, PDLIM1, PGRMC1, PNMA1, DNAJB6, CCL5, LMNA, FLNA, STOM, RBBP6, LY6G6F, SNCA, MPP1, CDKN2D, UBL4A, PTPN18, GSN, DMTN, RIOK3, CMTM5, NAP1L1, FAH, TUBB4B, PDZK1IP1, SOD2, SVIP, USF2, RAB11A, MLH3, RAB10, FKBP1A, VAPA, P2RX1, RGS10, TACC3, CD9, LAMTOR1, GLA, PF4, LIMS1	210	12657	18976	1.3279066355150735	9.126299715944697E-11	9.14591517187167E-11	8.980378245683947E-11
GOTERM_CC_DIRECT	GO:0031093~platelet alpha granule lumen	14	6.334841628959276	2.2101445454761172E-13	SRGN, APP, TGFB1, SPARC, ACTN1, F13A1, PPBP, CLU, TMSB4X, MAGED2, TIMP1, ALDOA, PF4, FERMT3	216	68	20660	19.69226579520697	8.664979844752452E-11	2.165941654566595E-11	1.9338764772916025E-11
GOTERM_BP_DIRECT	GO:0070527~platelet aggregation	12	5.429864253393665	4.1347278301971435E-12	ITGB3, TUBB1, HSPB1, ILK, FLNA, GP1BA, TLN1, MYL9, MYL12A, ACTB, ACTG1, FERMT3	209	50	19462	22.348708133971293	6.9834957816539145E-9	6.979420577372778E-9	6.93393857124061E-9
GOTERM_MF_DIRECT	GO:0005200~structural constituent of cytoskeleton	13	5.88235294117647	2.8539295218968875E-9	ARPC1B, TPM1, ARPC5, TUBB4B, TUBA4A, ACTB, ACTG1, TUBA1C, TUBA1B, LMNA, TUBB1, TLN1, TUBA8	210	109	18976	10.777107907383137	1.2585821356214666E-6	6.307184243392121E-7	6.193027062516246E-7
GOTERM_CC_DIRECT	GO:0005884~actin filament	12	5.429864253393665	6.788704740389912E-9	DIAPH1, DMTN, CTTN, TPM4, TPM3, ACTN1, TPM1, FLNA, GAS2L1, ARHGAP6, ACTB, ACTG1	216	99	20660	11.593714927048259	2.6611687142796825E-6	5.322344516465691E-7	4.7520933182729384E-7
GOTERM_CC_DIRECT	GO:0031092~platelet alpha granule membrane	7	3.167420814479638	1.3322828368671561E-8	CYB5R1, SPARC, ITGB3, ITGA2B, CD9, LY6G6F, SNCA	216	17	20660	39.38453159041394	5.2225351285795085E-6	8.704247867532086E-7	7.771649881725078E-7
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	98	44.34389140271493	6.215755854985409E-8	APP, SPARC, SPINT2, SRP14, CLU, ACTB, ACTG1, GRAP2, FTH1, TUBB1, ARHGDIB, CAPN1, GLUL, SKP1, G6PD, ACTN1, TALDO1, TUBA4A, RBX1, RUFY1, MYL9, SQSTM1, PVALB, MAX, FAXDC2, ALOX12, OAZ1, MYL12A, SNX3, SNN, CYB5R3, PACSIN2, GAS2L1, CD99, TRAPPC1, TGFB1, TMEM50A, PARVB, ARPC5, PRDX6, DIAPH1, ABTB1, CALM3, GNB5, EIF4G2, TUBA8, ITGB1, ARF3, RNF10, ARF1, ARPC1B, SNAP23, FHL1, SLC40A1, HSPB1, PYGL, ARHGAP6, TUBA1C, TUBA1B, CA2, TMSB4X, SH3BGRL3, YWHAH, PLA2G12A, DBNL, GPX1, TSC22D1, GSTO1, DYNLL1, NT5C3A, PKM, CTTN, TAX1BP3, GAPDH, RGS18, MTPN, WBP2, ODC1, PTGS1, PDLIM1, KIAA0513, SH3BGRL, PNMA1, DNAJB6, FLNA, SNCA, CDKN2D, UBL4A, PTPN18, GSN, NAP1L1, TUBB4B, FKBP1A, XPNPEP1, TACC3, GLA, PF4, LIMS1	216	5796	20660	1.6172392198962249	2.436546686390706E-5	3.2352385093512305E-6	2.8886058119207415E-6
