Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	30	21.897810218978105	1.6543379301074293E-41	RPL5, RPL12, RPL10A, RPL8, RPL9, RPS19, RPL18A, RPS18, RPL35, RPL37, RPL15, RPS11, RPL18, RPS13, RPL21, RPS8, RPL23, RPS5, RPL13A, RPL23A, RPSA, RPS3A, RPS27, RPL37A, RPL27, RPL22L1, FAU, RPL29, RPS21, RPS23	133	91	19462	48.240932000330496	1.437619661263356E-38	1.4359653233332485E-38	1.411150254381637E-38
GOTERM_CC_DIRECT	GO:0022626~cytosolic ribosome	29	21.16788321167883	1.099567815742746E-39	RPL5, RPL12, RPL10A, RPL8, RPL9, RPS19, RPL18A, RPS18, RPL35, RPL37, RPL15, RPS11, RPL18, RPS13, RPL21, RPS8, RPL23, RPS5, RPL13A, RPL23A, RPSA, RPS3A, RPS27, RPL37A, RPL27, FAU, RPL29, RPS21, RPS23	136	93	20660	47.37033523086654	2.386062160161759E-37	2.386062160161759E-37	2.03420045912408E-37
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	30	21.897810218978105	3.348011891614529E-31	RPL5, RPL12, RPL10A, RPL8, RPL9, RPS19, RPL18A, RPS18, RPL35, RPL37, RPL15, RPS11, RPL18, RPS13, RPL21, RPS8, RPL23, RPS5, RPL13A, RPL23A, RPSA, RPS3A, RPS27, RPL37A, RPL27, RPL22L1, FAU, RPL29, RPS21, RPS23	130	191	18976	22.927104309303264	8.470470085784758E-29	8.503950204700903E-29	8.303069491204031E-29
GOTERM_CC_DIRECT	GO:0005840~ribosome	28	20.437956204379564	2.6312530122503267E-29	RPL5, RPL12, RPL10A, RPL8, RPL9, RPS19, RPL18A, RPS18, RPL37, RPL15, RPS11, RPL18, RPS13, RPL21, RPS8, RPL23, RPS5, RPL13A, RPL23A, RPS3A, RPS27, RPL37A, RPL27, RPL22L1, FAU, RPL29, RPS21, RPS23	136	180	20660	23.630718954248362	5.709819036583209E-27	2.8549095182916044E-27	2.4339090363315523E-27
GOTERM_BP_DIRECT	GO:0006412~translation	30	21.897810218978105	3.1248810060890063E-29	RPL5, RPL12, RPL10A, RPL8, RPL9, RPS19, RPL18A, RPS18, RPL35, RPL37, RPL15, RPS11, RPL18, RPS13, RPL21, RPS8, RPL23, RPS5, RPL13A, RPL23A, RPSA, RPS3A, RPS27, RPL37A, RPL27, RPL22L1, FAU, RPL29, RPS21, RPS23	133	222	19462	19.774436090225564	2.715521594291346E-26	1.3561983566426286E-26	1.3327617490969613E-26
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	17	12.408759124087592	9.228757601973659E-22	RPL5, RPL21, RPL23, RPL12, RPL13A, RPL23A, RPL10A, RPL8, RPL9, RPL18A, RPL37A, RPL35, RPL27, RPL37, RPL15, RPL29, RPL18	136	62	20660	41.65322580645161	2.0026403996282838E-19	6.675467998760946E-20	5.691067187883756E-20
GOTERM_MF_DIRECT	GO:0023026~MHC class II protein complex binding	13	9.48905109489051	1.5892223492593088E-19	CD74, HLA-DRB5, HLA-DMA, HLA-DMB, HLA-DPB1, HLA-DRA, MS4A1, HLA-DOB, HLA-DQA2, HLA-DQA1, HLA-DRB1, HLA-DPA1, HLA-DQB1	130	28	18976	67.77142857142857	4.020732543626051E-17	2.018312383559322E-17	1.970635713081543E-17
GOTERM_BP_DIRECT	GO:0002503~peptide antigen assembly with MHC class II protein complex	11	8.02919708029197	2.7094062535261054E-18	HLA-DMA, HLA-DRB5, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DOB, HLA-DQA2, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	133	17	19462	94.68465280849182	2.3544740343141855E-15	7.839215426868864E-16	7.703745114192559E-16
GOTERM_CC_DIRECT	GO:0042613~MHC class II protein complex	12	8.75912408759124	4.319147961237319E-18	CD74, HLA-DMA, HLA-DRB5, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DOB, HLA-DQA2, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	136	26	20660	70.1131221719457	9.372551075884982E-16	2.3431377689712456E-16	1.9976059320722599E-16
GOTERM_BP_DIRECT	GO:0002504~antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	11	8.02919708029197	2.5257893646889713E-17	HLA-DMA, HLA-DRB5, HLA-DMB, HLA-DPB1, HLA-DRA, HLA-DOB, HLA-DQA2, HLA-DRB1, HLA-DQA1, HLA-DPA1, HLA-DQB1	133	20	19462	80.48195488721804	2.1949109579147162E-14	5.4809629213750675E-15	5.386245820199231E-15
GOTERM_MF_DIRECT	GO:0003723~RNA binding	44	32.11678832116788	5.245439141707897E-17	EIF4A2, RPL5, RPL12, HMGB1, RPL10A, RPL8, RPL9, ZFP36L1, HNRNPDL, RPS19, RPL18A, RPS18, PAPOLA, RPL35, RPL37, RPL15, RPS11, RPL18, RPS13, PNISR, RPL21, RPS8, RPL23, RPS5, CIRBP, RPL13A, RPL23A, RPSA, RPS3A, EEF2, LSM2, LSM7, RPS27, HNRNPK, RPL37A, HNRNPA2B1, RPL27, RPL22L1, FAU, EZR, RPL29, RPS21, EIF4G2, RPS23	130	1483	18976	4.330847035634629	1.327096102852098E-14	4.441138473312686E-15	4.3362296904785285E-15
